Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Retail Sales People,Product ID,Category,Sub-Category,Product Name,Returned,Sales,Quantity,Discount,Profit,Shipping_Days,Revenue,Profit_Margin,Cost,Has_Discount,Order_Year,Order_Month,Order_Quarter,Order_DayOfWeek,Order_YearMonth,Order_Size,Profit_Category
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,Cassandra Brandow,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,Not,15.552,3,0.2,5.4432,5,15.552,35.0,10.108799999999999,1,2017,4,2,Saturday,2017-04,Medium,Profitable
14,CA-2016-161389,2016-05-12,2016-10-12,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,Anna Andreadi,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,Not,407.976,3,0.2,132.5922,153,407.976,32.49999999999999,275.3838,1,2016,5,2,Thursday,2016-05,Medium,Profitable
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,Kelly Williams,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Not,68.81,5,0.8,-123.858,4,68.81,-180.0,192.668,1,2015,11,4,Sunday,2015-11,Medium,Loss
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,Kelly Williams,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,Not,2.544,3,0.8,-3.816,4,2.544,-150.0,6.359999999999999,1,2015,11,4,Sunday,2015-11,Medium,Loss
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,Kelly Williams,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Not,665.88,6,0.0,13.3176,7,665.88,2.0,652.5624,0,2014,11,4,Tuesday,2014-11,Large,Profitable
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,Anna Andreadi,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,Not,55.5,2,0.0,9.99,2,55.5,18.0,45.51,0,2014,5,2,Tuesday,2014-05,Small,Profitable
19,CA-2014-143336,2014-08-27,2014-08-27,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Anna Andreadi,OFF-AR-10003056,Office Supplies,Art,Newell 341,Yes,8.56,2,0.0,2.4824,0,8.56,28.999999999999996,6.0776,0,2014,8,3,Wednesday,2014-08,Small,Profitable
20,CA-2014-143336,2014-08-27,2014-08-27,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Anna Andreadi,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,Yes,213.48,3,0.2,16.011,0,213.48,7.5,197.469,1,2014,8,3,Wednesday,2014-08,Medium,Profitable
21,CA-2014-143336,2014-08-27,2014-08-27,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Anna Andreadi,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",Yes,22.72,4,0.2,7.384,0,22.72,32.5,15.335999999999999,1,2014,8,3,Wednesday,2014-08,Medium,Profitable
22,CA-2016-137330,2016-09-12,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Kelly Williams,OFF-AR-10000246,Office Supplies,Art,Newell 318,Not,19.46,7,0.0,5.0596,92,19.46,25.999999999999996,14.400400000000001,0,2016,9,3,Monday,2016-09,Large,Profitable
23,CA-2016-137330,2016-09-12,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Kelly Williams,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",Not,60.34,7,0.0,15.6884,92,60.34,25.999999999999996,44.6516,0,2016,9,3,Monday,2016-09,Large,Profitable
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",Not,71.372,2,0.3,-1.0196,2,71.372,-1.4285714285714286,72.3916,1,2017,7,3,Sunday,2017-07,Small,Loss
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,Anna Andreadi,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,Not,1044.63,3,0.0,240.2649,5,1044.63,23.0,804.3651000000001,0,2015,9,3,Friday,2015-09,Medium,Profitable
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Anna Andreadi,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,Not,11.648,2,0.2,4.2224,4,11.648,36.25000000000001,7.425599999999999,1,2016,1,1,Saturday,2016-01,Small,Profitable
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Anna Andreadi,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Not,90.57,3,0.0,11.7741,4,90.57,13.0,78.79589999999999,0,2016,1,1,Saturday,2016-01,Medium,Profitable
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Not,3083.43,7,0.5,-1665.0522,4,3083.43,-54.0,4748.4822,1,2015,9,3,Thursday,2015-09,Large,Loss
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,Not,9.618,2,0.7,-7.0532,4,9.618,-73.33333333333334,16.6712,1,2015,9,3,Thursday,2015-09,Small,Loss
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Not,124.2,3,0.2,15.525,4,124.2,12.5,108.675,1,2015,9,3,Thursday,2015-09,Medium,Profitable
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,Not,3.264,2,0.2,1.1016,4,3.264,33.75,2.1624,1,2015,9,3,Thursday,2015-09,Small,Profitable
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Not,86.304,6,0.2,9.7092,4,86.304,11.249999999999998,76.5948,1,2015,9,3,Thursday,2015-09,Large,Profitable
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Not,6.858,6,0.7,-5.715,4,6.858,-83.33333333333334,12.573,1,2015,9,3,Thursday,2015-09,Large,Loss
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,Not,15.76,2,0.2,3.546,4,15.76,22.499999999999996,12.214,1,2015,9,3,Thursday,2015-09,Small,Profitable
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,Kelly Williams,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,Not,29.472,3,0.2,9.9468,4,29.472,33.75,19.5252,1,2017,10,4,Thursday,2017-10,Medium,Profitable
36,CA-2016-117590,2016-08-12,2016-10-12,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Kelly Williams,TEC-PH-10004977,Technology,Phones,GE 30524EE4,Not,1097.544,7,0.2,123.4737,61,1097.544,11.249999999999998,974.0703000000001,1,2016,8,3,Friday,2016-08,Large,Profitable
37,CA-2016-117590,2016-08-12,2016-10-12,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Kelly Williams,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Not,190.92,5,0.6,-147.963,61,190.92,-77.5,338.883,1,2016,8,3,Friday,2016-08,Medium,Loss
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Kelly Williams,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Not,113.328,9,0.2,35.415,4,113.328,31.25,77.91300000000001,1,2015,12,4,Sunday,2015-12,Large,Profitable
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Kelly Williams,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Not,532.3992,3,0.32,-46.9764,4,532.3992,-8.823529411764707,579.3756,1,2015,12,4,Sunday,2015-12,Medium,Loss
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Kelly Williams,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",Not,212.058,3,0.3,-15.147,4,212.058,-7.142857142857144,227.20499999999998,1,2015,12,4,Sunday,2015-12,Medium,Loss
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Kelly Williams,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,Not,371.168,4,0.2,41.7564,4,371.168,11.25,329.4116,1,2015,12,4,Sunday,2015-12,Medium,Profitable
42,CA-2017-120999,2017-10-09,2017-10-09,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,Kelly Williams,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,Not,147.168,4,0.2,16.5564,0,147.168,11.249999999999998,130.6116,1,2017,10,4,Monday,2017-10,Medium,Profitable
43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,Anna Andreadi,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",Not,77.88,2,0.0,3.894,5,77.88,5.0,73.98599999999999,0,2016,7,3,Sunday,2016-07,Small,Profitable
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,Cassandra Brandow,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Not,95.616,2,0.2,9.5616,4,95.616,10.0,86.0544,1,2017,9,3,Tuesday,2017-09,Small,Profitable
45,CA-2016-118255,2016-11-03,2016-11-03,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,Kelly Williams,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Not,45.98,2,0.0,19.7714,0,45.98,43.00000000000001,26.208599999999997,0,2016,11,4,Thursday,2016-11,Small,Profitable
46,CA-2016-118255,2016-11-03,2016-11-03,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,Kelly Williams,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,Not,17.46,2,0.0,8.2062,0,17.46,47.0,9.2538,0,2016,11,4,Thursday,2016-11,Small,Profitable
47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,Kelly Williams,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Not,211.96,4,0.0,8.4784,5,211.96,4.0,203.48160000000001,0,2014,10,4,Monday,2014-10,Medium,Profitable
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Chuck Magee,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Not,45.0,3,0.0,4.95,5,45.0,11.0,40.05,0,2016,6,2,Monday,2016-06,Medium,Profitable
49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Chuck Magee,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Not,21.8,2,0.0,6.104,5,21.8,27.999999999999996,15.696000000000002,0,2016,6,2,Monday,2016-06,Small,Profitable
50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Kelly Williams,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Not,38.22,6,0.0,17.9634,4,38.22,47.0,20.2566,0,2015,4,2,Saturday,2015-04,Large,Profitable
51,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Kelly Williams,OFF-LA-10002762,Office Supplies,Labels,Avery 485,Not,75.18,6,0.0,35.3346,4,75.18,47.0,39.845400000000005,0,2015,4,2,Saturday,2015-04,Large,Profitable
52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Kelly Williams,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,Not,6.16,2,0.0,2.9568,4,6.16,48.0,3.2032000000000003,0,2015,4,2,Saturday,2015-04,Small,Profitable
53,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Kelly Williams,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",Not,89.99,1,0.0,17.0981,4,89.99,19.0,72.89189999999999,0,2015,4,2,Saturday,2015-04,Small,Profitable
54,CA-2016-105816,2016-11-12,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Chuck Magee,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,Not,15.26,7,0.0,6.2566,35,15.26,41.0,9.0034,0,2016,11,4,Saturday,2016-11,Large,Profitable
55,CA-2016-105816,2016-11-12,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Chuck Magee,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,Not,1029.95,5,0.0,298.6855,35,1029.95,28.999999999999996,731.2645,0,2016,11,4,Saturday,2016-11,Medium,Profitable
56,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,Yes,208.56,6,0.0,52.14,1,208.56,25.0,156.42000000000002,0,2016,6,2,Friday,2016-06,Large,Profitable
57,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,Yes,32.4,5,0.0,15.552,1,32.4,48.0,16.848,0,2016,6,2,Friday,2016-06,Medium,Profitable
58,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,Yes,319.41,5,0.1,7.098,1,319.41,2.222222222222222,312.312,1,2016,6,2,Friday,2016-06,Medium,Profitable
59,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",Yes,14.56,2,0.0,6.9888,1,14.56,48.0,7.5712,0,2016,6,2,Friday,2016-06,Small,Profitable
60,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Yes,30.0,2,0.0,3.3,1,30.0,11.0,26.7,0,2016,6,2,Friday,2016-06,Small,Profitable
61,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,Yes,48.48,4,0.2,16.362,1,48.48,33.75,32.117999999999995,1,2016,6,2,Friday,2016-06,Medium,Profitable
62,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,Yes,1.68,1,0.0,0.84,1,1.68,50.0,0.84,0,2016,6,2,Friday,2016-06,Small,Profitable
63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Anna Andreadi,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Not,13.98,2,0.0,6.1512,6,13.98,44.0,7.8288,0,2015,11,4,Tuesday,2015-11,Small,Profitable
64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Anna Andreadi,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Not,25.824,6,0.2,9.3612,6,25.824,36.25,16.4628,1,2015,11,4,Tuesday,2015-11,Large,Profitable
65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Anna Andreadi,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,Not,146.73,3,0.0,68.9631,6,146.73,47.0,77.76689999999999,0,2015,11,4,Tuesday,2015-11,Medium,Profitable
66,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Anna Andreadi,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,Not,79.76,4,0.0,22.3328,6,79.76,27.999999999999996,57.427200000000006,0,2015,11,4,Tuesday,2015-11,Medium,Profitable
67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,Kelly Williams,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",Not,213.115,5,0.3,-15.2225,5,213.115,-7.142857142857142,228.3375,1,2015,4,2,Thursday,2015-04,Medium,Loss
68,CA-2014-106376,2014-05-12,2014-10-12,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Anna Andreadi,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Not,1113.024,8,0.2,111.3024,153,1113.024,10.000000000000002,1001.7215999999999,1,2014,5,2,Monday,2014-05,Large,Profitable
69,CA-2014-106376,2014-05-12,2014-10-12,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Anna Andreadi,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,Not,167.968,4,0.2,62.988,153,167.968,37.5,104.97999999999999,1,2014,5,2,Monday,2014-05,Medium,Profitable
70,CA-2016-119823,2016-04-06,2016-06-06,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,Cassandra Brandow,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Not,75.88,2,0.0,35.6636,61,75.88,47.00000000000001,40.21639999999999,0,2016,4,2,Wednesday,2016-04,Small,Profitable
71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,Chuck Magee,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,Not,4.616,1,0.2,1.731,5,4.616,37.50000000000001,2.885,1,2016,9,3,Sunday,2016-09,Small,Profitable
72,CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,Kelly Williams,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Not,19.05,3,0.0,8.763,3,19.05,46.0,10.287,0,2017,9,3,Thursday,2017-09,Medium,Profitable
73,US-2015-134026,2015-04-26,2015-04-26,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Cassandra Brandow,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,Not,831.936,8,0.2,-114.3912,0,831.936,-13.749999999999998,946.3272000000001,1,2015,4,2,Sunday,2015-04,Large,Loss
